Gene symbol	No-Peptide-24h	10uM-K99A-24h	100uM-K99A-24h	0-1uM-PCC-24h	10uM-PCC-24h
Nfkb2	86.8715	273.35	302.0615	257.486	265.7835
Krtap13-1	0.0	0.0	0.0	0.028	0.0
Vps26b	16.0235	16.924	17.652	18.5795	18.854
Vmn1r83	0.0	0.0	0.0	0.0	0.0
Smco3	0.036500000000000005	0.0	0.092	0.046	0.05
Gatm	3.2365	2.2085000000000004	1.3319999999999999	1.327	0.9435
Nacad	1.432	1.75	1.2654999999999998	1.038	0.925
Ctdsp2	43.1655	32.926500000000004	21.736	21.469	22.9585
Olfr1510	0.0	0.0	0.0	0.0	0.0
Olfr1441	0.0	0.0	0.0	0.0	0.0
Aoc3	0.0	0.3075	0.213	0.475	0.344
Cela2a	0.055	0.16	0.39799999999999996	0.22350000000000006	0.184
Snrnp35	2.957	7.1505	12.0925	8.692	11.0175
Smarca2	19.826	17.2405	9.791	9.335	6.304499999999999
Sh3bp1	47.861	38.5715	27.138	24.7725	19.4125
Phlda3	1.92	11.284	21.6575	21.5325	25.624000000000002
Gm14476	0.0	0.0	0.0	0.0	0.0
Pycr1	1.2535	3.4969999999999994	5.475	5.437	4.8015
Marveld1	14.3535	11.812	11.3975	10.62	8.493500000000001
Nqo2	2.994	2.028	1.1715	0.9670000000000001	0.3915
Scaf4	19.256	21.5455	26.1575	29.3685	29.308000000000003
Adamts1	0.0	0.0	0.0145	0.0095	0.0
Ube2ql1	0.0	0.0	0.0	0.0	0.0
Abca16	0.0	0.0	0.0	0.0	0.004
Dusp22	5.1610000000000005	4.482	6.652	4.9575	6.6549999999999985
Vmn1r26	0.0	0.0	0.0	0.0	0.0
Csnk1g1	11.6275	15.5425	17.3385	17.582	17.822499999999994
Nlrp14	0.0	0.0	0.0	0.0	0.0
Hist1h2ad	0.0	0.0	0.0	0.0	0.0
Tial1	16.6565	19.1785	21.0935	22.2895	23.942500000000006
Gm527	3.5439999999999996	3.3255	2.2845000000000004	2.4785	2.123
S100a3	0.941	0.07	0.223	0.1995	0.1555
Reep2	0.37200000000000005	0.4765	0.615	0.9145	0.853
Dppa2	0.0	0.0	0.0	0.0	0.0
Kif14	0.531	0.6725	0.3225	0.41200000000000003	0.455
Olfr967	0.0	0.0	0.0	0.0	0.0
Olfr125	0.0	0.0	0.053	0.0	0.0
Zadh2	12.0025	9.2835	7.686	7.479000000000001	8.0755
Cpsf7	35.5125	44.04900000000001	44.101000000000006	46.559	47.068000000000005
Ttl	1.3769999999999998	2.2535	2.736	2.3175	2.3255
Rnf5	14.187	17.6725	20.6235	19.7295	20.4065
Soga3	0.0	0.0	0.0	0.0	0.0
Pank4	22.886	17.7055	14.2835	15.113	14.8765
Vmn2r48	0.0	0.0	0.0	0.0	0.0
Olfr1045	0.0	0.0	0.0	0.0	0.0
4930513O06Rik	0.0	0.0	0.0	0.0	0.0225
Cherp	26.4865	34.032000000000004	45.4605	51.9065	54.1165
Psmd11	16.759	30.8985	43.287000000000006	42.99100000000001	47.496
