gene symbol	pc1	mouse_spleen_and_lymph_nodes_th0_cells	mouse_spleen_and_lymph_nodes_th17_cells	mouse_spleen_and_lymph_nodes_exfoxp3th17_cells	mouse_spleen_and_lymph_nodestreg_cells
gas5	0.004466567123897936	-323.6350000000002	189.56500000000005	819.5749999999998	-685.5050000000001
gas5	0.004466567123897936	-60.27249999999998	196.8435	-140.0385	3.4674999999999727
gas5	0.004466567123897936	-85.55650000000003	271.79649999999987	-185.8485	-0.39150000000000773
gas5	0.004466567123897936	-270.19500000000016	99.625	953.105	-782.5349999999999
gbp2	0.010287184597480849	-565.33725	279.0777499999999	-317.40325000000007	603.66275
gbp2	0.010287184597480849	-716.4585	478.1645000000001	-311.5805	549.8745000000001
gda	-0.003849341276561632	3.4728817500000004	-0.3587082499999994	-2.41632525	-0.6978482499999998
gda	-0.003849341276561632	-1.0998375000000005	0.2706824999999995	-0.445427500000001	1.2745824999999993
gda	-0.003849341276561632	3.105805	-4.615665	0.6751150000000008	0.8347449999999998
ghitm	0.007167215849427077	-104.81475	164.73325	70.80525	-130.72375000000005
ghitm	0.007167215849427077	-213.83624999999995	336.5887500000001	-50.1412499999999	-72.61124999999993
glrx	-0.003053171890702642	-312.5445	23.991499999999974	54.49549999999999	234.0575
glrx	-0.003053171890702642	-175.29247500000002	33.27382499999999	15.518824999999993	126.49982500000004
gnl3	0.004185043468604535	0.8254999999999768	131.41949999999997	-152.3485	20.103499999999997
gpsm3	-0.00734659310354587	81.77074999999996	-44.80824999999999	80.18574999999998	-117.14825000000002
gramd3	-0.0030360694472364703	209.45732499999997	-97.33167500000002	194.187325	-306.31297500000005
gramd3	-0.0030360694472364703	56.869675	-21.52732499999999	44.552674999999965	-79.89502499999999
grap	0.0059223403125921534	144.76524999999998	-59.77875	-20.499750000000006	-64.48675
grap2	-0.0029365160939376768	14.963224999999994	10.839724999999987	-5.618975000000006	-20.18397500000001
grap2	-0.0029365160939376768	69.88924999999999	-15.607050000000008	-15.851450000000007	-38.43075000000001
grap2	-0.0029365160939376768	9.313749999999999	0.5464500000000001	-3.546750000000003	-6.313450000000003
gtpbp4	0.004335654424767677	-24.116250000000008	90.26174999999998	-90.67425000000001	24.528750000000002
gtpbp4	0.004335654424767677	-56.338250000000016	69.35374999999999	-20.468250000000012	7.4527499999999804
gtpbp4	0.004335654424767677	-44.46750000000003	134.02749999999997	-87.0985	-2.461500000000001
h2-aa	-0.004423735254719109	-1.570455	-4.988495	-5.4537949999999995	12.012744999999999
