Gene symbol	Control1	Control2	Anergic1	Anergic2
Ptp4a2	5569.1	5942.8	7533.5	8113.3
Selenbp1	12.8	16.5	14.4	15.6
Gyg	209.7	504.3	434.1	563.4
Atf4	3155.0	1513.3	2243.1	1579.2
Cd24a	95.1	237.4	109.0	87.9
Itgb5	57.0	78.4	28.3	57.8
Rps15	5.7	13.3	7.1	71.5
Dync1i2	336.1	469.2	467.8	506.3
Tpm2	42.0	64.9	41.2	59.8
Prnp	2476.9	860.7	2569.0	784.8
Pld3	1016.6	824.3	994.7	684.5
Sptlc1	1101.1	1242.0	1594.9	1839.0
C2 /// Cfb	78.9	58.1	57.8	76.2
Capns1	6558.9	3819.4	5401.9	4746.6
Lyz2	129.1	73.3	11.7	11.4
Rrm1	361.0	531.3	554.2	723.8
Fkbp8	3042.3	4474.6	5198.9	3541.6
Mb	8.0	12.9	5.7	8.2
Mb	18.2	30.7	25.5	27.1
Cenpa	150.5	143.0	230.3	305.7
Slc25a5	61.3	64.4	78.1	99.1
Slc25a5	944.5	1446.4	879.9	1381.2
Slc25a5	203.2	492.9	142.6	332.4
Hpd	54.5	142.5	52.7	69.6
Rnh1	1942.8	1633.4	2935.0	3422.4
Prdx6	906.8	801.3	592.4	454.8
Clca3	25.2	83.4	77.5	108.1
Odf2	79.6	140.3	85.1	84.9
Ndufc1	939.4	1244.9	1301.5	849.5
Gstm5	228.5	246.4	53.8	95.2
Gstm5	1621.1	1784.1	1211.7	1392.8
Gstm5	231.1	561.0	286.6	623.4
Prkag1	723.7	625.4	559.9	637.6
Mosc2	2006.2	2009.3	2620.5	2213.3
Rdh7	97.9	235.8	94.3	168.0
Sar1a	3059.6	2541.2	3629.0	4532.7
Eif4ebp1	166.5	207.3	177.7	225.8
	17.3	13.2	3.5	40.5
Scn9a	8.2	34.0	17.3	18.9
Ifna11	39.7	62.1	2.9	9.5
Myo5a	2.4	3.0	2.6	4.9
Klra5	2183.4	3223.7	2436.5	2599.7
Klra6	257.8	487.1	256.7	448.6
Gabrr1	61.0	112.2	55.2	83.8
Synj2	6.2	63.3	24.3	14.1
Vmn2r-ps159 /// Vmn2r-ps160 /// Vmn2r122 /// Vmn2r123	13.9	52.7	17.0	105.0
Vmn2r88	30.6	6.4	31.5	27.3
Vmn2r10	21.2	35.7	22.4	48.6
Dub1	38.8	26.0	24.6	29.7
	16.0	21.1	54.9	25.2
Igh-VJ558	80.3	239.8	112.0	220.5
Gm16939	319.5	687.3	291.1	410.1
Prkcsh	1800.2	1455.9	2206.6	2090.6
Krt1	93.6	76.7	16.7	31.4
Rps2	15790.1	23394.0	12720.9	13662.1
Vmn2r37	62.1	157.1	20.5	135.4
Crybb2	6.0	10.9	10.4	18.5
Svs4	7.8	9.3	5.1	2.6
Th	45.5	255.6	104.3	155.8
Scn3a	6.9	11.5	5.3	4.3
	108.1	116.0	20.4	46.1
Gabrg3	121.2	197.5	87.8	145.3
Rplp1	22093.8	27183.1	11900.1	15464.4
Edn2	24.3	28.4	18.3	30.5
Pde6a	135.9	220.1	81.6	164.9
Pax3	13.6	54.5	20.3	80.8
Prop1	30.8	28.7	14.4	23.0
Nfatc2ip	7.9	6.5	5.9	12.7
Nr5a1	131.4	134.4	26.1	147.9
Nr5a1	90.8	178.9	32.8	181.1
Shbg	235.4	258.8	163.6	220.8
Npy2r	65.9	55.8	19.6	59.6
Cmtm4	7.9	12.4	4.0	14.5
Lhcgr	4.5	8.9	5.8	4.3
Sfmbt2	187.7	552.4	519.9	666.9
Sh3rf1	21.9	34.8	45.0	74.1
H3f3b	6774.4	5252.4	5450.3	3239.4
Tpbpa	37.1	173.1	25.1	35.6
Vcp	2637.3	2640.7	3361.7	2382.4
Rpl10a	11825.2	16520.2	9389.7	11948.3
Npas1	63.6	129.1	71.7	30.5
Zfp617	131.0	211.6	97.1	107.5
Nkx3-2	51.6	58.4	39.5	27.3
Msmb	6.7	10.1	2.5	8.9
Has1	44.4	39.0	67.3	75.1
U90926	503.4	676.7	419.7	583.9
Ptma	2517.2	3309.0	3520.8	2597.6
Klk1b16	15.2	39.7	40.6	71.5
Pabpc1	13014.0	17988.8	11416.2	13458.1
Gm16710 /// LOC382693 /// V165-D-J-C mu	89.2	410.1	194.5	326.0
	30.1	391.9	24.6	339.9
Sprr2e	1377.9	2035.9	1108.3	1754.9
Zfp28	87.6	83.9	58.4	88.5
Nqo1	66.9	59.7	40.3	22.9
Grin2a	92.5	36.9	25.1	61.0
Rpl28	16800.3	22680.1	12606.5	14342.2
Mpdz	19.4	36.1	10.3	20.0
Gm15772	10269.1	11521.3	8071.2	7017.2
Cd180	113.4	185.4	83.9	154.3
	14.0	25.0	14.6	33.7
Gm11353 /// Gm14438 /// Rps8 /// Rps8-ps1	14500.2	16559.7	10929.8	10146.1
Psma2	5439.3	5153.8	6287.0	4867.6
Rpl3	13143.9	19355.5	11150.5	13166.0
Krtap6-3	5.3	40.4	15.9	11.9
Barx2	17.0	22.8	15.8	27.0
Onecut1	238.8	210.4	138.7	192.3
Spi15	39.5	67.5	30.4	46.8
Spi16	16.3	49.4	3.8	48.8
Gp5	25.9	46.6	20.7	36.1
Fpr3	21.3	29.3	18.7	32.1
AA409749	428.2	604.6	216.9	440.3
Ino80c	279.1	339.7	190.4	244.6
Zfp518b	20.4	34.6	13.9	45.3
Psg19	1.6	27.4	5.0	18.3
	44.6	110.4	55.2	107.6
AA408954	82.8	84.8	9.6	39.2
D10Wsu159e	7.5	71.4	17.5	39.9
Zbtb37	67.4	148.7	78.7	157.6
AA414903	77.5	167.7	61.8	115.2
Adam10	205.5	344.8	372.3	331.0
Rrh	15.7	28.7	17.0	23.3
Atp5a1	5678.2	5781.8	5370.6	5348.3
Mecom	39.4	73.1	42.3	11.4
Elane	265.3	259.5	120.0	243.2
Tyms-ps	201.2	317.1	187.3	251.6
Cacnb2	176.8	128.2	93.8	312.7
Rps28	17633.4	26110.0	13525.3	15317.6
Mrc2	104.9	246.9	76.7	71.5
Dsc1	67.5	139.0	61.1	119.9
Strn	18.8	89.5	10.7	29.2
Sema6a	27.0	25.4	24.4	24.2
D2Ertd127e	23.0	26.2	10.7	53.6
Il2rb	1087.5	898.8	1239.3	1586.0
Fndc7	143.2	189.8	48.1	130.9
Edn3	26.8	34.8	31.7	55.9
	11.9	18.3	18.6	26.9
	6.3	138.0	2.9	90.8
	86.0	345.7	80.0	216.6
Blnk	20.5	30.2	83.7	16.3
Blnk	62.4	50.6	8.0	16.6
Il12a	13.4	22.8	10.9	14.8
Synj2bp	139.7	161.3	62.5	152.4
	219.5	126.1	78.5	229.7
Zfp799	74.3	24.0	17.0	19.0
Cd38	133.9	356.6	343.4	527.5
Il12b	19.3	23.3	18.1	25.6
Rps4x	17216.1	25208.3	13350.2	15910.7
Myl4	259.8	383.6	147.6	192.8
	54.6	48.6	56.0	65.0
Fez1	209.1	170.0	90.5	170.3
1810058I24Rik	2372.7	1777.2	2465.7	2684.0
Strn3	853.9	955.4	966.7	787.1
Actn3	45.3	48.2	42.6	50.5
Gbp6	2838.9	4538.8	949.4	2074.5
Defb1	60.8	26.5	19.7	50.7
Arl4d	52.9	56.0	31.1	65.1
Akr1b8	472.1	567.5	594.3	752.0
Nek2	238.3	183.2	89.5	207.0
Mrpl45	600.6	695.3	483.8	544.0
Smc6	338.0	400.2	328.8	289.7
Sorl1	78.9	32.8	12.0	51.4
Samd4b	825.2	599.8	932.6	763.0
Chaf1b	211.3	304.1	90.7	226.7
Smcp	111.3	163.4	107.5	105.7
Ndufaf1	594.1	582.7	455.5	475.2
Sptlc2	808.3	879.6	669.0	668.9
Orc5	294.0	332.1	198.0	303.8
Lsg1	405.4	429.0	255.4	308.9
Cacng1	73.5	185.1	94.3	158.4
Zbtb22	240.1	258.4	137.7	219.2
	9.8	17.9	11.1	14.1
Zbtb22	1584.6	1116.9	1316.4	894.1
Hcfc1	1129.6	1201.2	1588.4	1673.5
Hcfc1	91.5	155.4	187.2	279.2
2610019F03Rik	20.0	26.4	36.7	21.5
Parp2	966.5	1085.3	749.0	657.9
Mett11d1	813.7	954.3	662.9	732.0
