Gene symbol	Control1	Control2	Anergic1	Anergic2
LOC100502924	82.6	246.2	55.1	251.4
Rps16 /// Rps16-ps2	18409.0	25703.2	12999.0	15281.9
Polk	56.1	121.2	45.6	66.2
Ghrhr	184.5	316.0	185.2	203.1
Tmed8	31.6	38.2	18.1	38.3
Dlx6as	39.2	30.8	5.0	45.8
Dsc3	11.8	14.9	13.3	15.9
Ins1	32.7	22.2	16.2	15.0
Ins1	1011.3	1201.8	841.6	999.4
Tcf7l2	80.7	92.1	72.4	108.7
Adad1	9.1	7.6	9.6	19.5
	175.0	187.5	304.7	140.1
	267.6	278.9	394.2	279.4
	5.5	52.6	2.3	4.6
Cts7	12.5	31.0	10.5	22.2
Tlx2	136.8	225.9	111.1	119.0
Mug-ps1	40.4	44.7	28.4	49.8
Gstm3	70.5	216.9	277.2	420.1
Gstm3	548.6	547.9	423.7	677.6
	120.5	141.4	85.9	133.3
Pick1	159.7	213.9	208.1	129.9
1700023D09Rik	21.4	17.4	15.5	20.5
Prcc	430.8	404.3	347.6	330.9
LOC100504569	243.9	409.1	161.6	306.3
	11.2	33.9	17.2	36.0
F3	11.9	25.0	6.8	65.9
Adk	11.5	16.4	7.0	8.6
Rpl27a	205.8	111.7	95.1	134.7
Htr2c	12.4	20.9	18.1	25.1
C78513	26.3	18.1	33.1	19.1
Tulp3	74.9	136.7	86.2	146.8
Rpl7	16066.4	22049.1	13163.1	14218.5
Rps24	15818.3	26976.6	13846.9	16986.1
Gm5045 /// Rpl7	38.9	21.2	14.0	20.4
Svs6	9.3	20.3	4.9	7.0
Plxna1	156.3	55.9	44.3	87.7
H2-K1	2747.7	3451.9	3831.8	1404.6
Bcas2	190.1	192.2	147.6	175.8
	24.1	213.9	15.5	51.5
Rpf2	164.9	105.7	76.6	80.8
Ell2	136.0	71.3	164.8	285.1
Snapc3	227.9	356.3	403.9	439.4
	215.4	332.9	129.9	283.0
LOC541456	70.5	94.3	33.1	102.3
	28.1	50.4	26.9	99.8
Il7	28.1	6.1	1.8	12.3
Tbc1d24	10.9	8.0	2.0	2.2
Npr3	25.5	68.1	6.3	95.3
Pikfyve	6.5	32.5	13.0	40.7
Pdxdc1	2095.2	1723.6	1926.9	1520.3
Actr1a	54.7	73.1	41.9	58.3
Tcf15	174.4	289.1	112.3	176.5
Ctla4	3699.1	3022.1	2610.3	999.8
Mst1r	100.1	41.5	15.9	21.1
Igh-VS107	7.2	12.8	3.4	7.0
Fgf15	19.3	35.1	11.3	11.8
Ssr1	601.8	292.8	773.3	342.7
Cbx2	140.0	150.6	76.2	87.5
Cry2	179.2	154.1	93.1	165.5
Bmpr1b	74.5	106.0	64.6	100.0
Grin2c	307.5	464.9	299.0	425.0
Nog	111.3	256.3	59.1	50.0
Ntn1	9.4	19.8	7.6	14.3
Enc1	19.9	15.8	8.6	15.4
Abca4	26.2	128.7	18.5	28.3
Ido1	11.1	19.6	20.6	23.2
Pde6g	85.5	49.9	27.5	40.1
Adora2b	64.1	41.9	140.6	188.2
Thpo	25.6	35.5	64.0	24.5
Trhr	13.1	8.7	23.6	11.6
	10.9	17.5	13.1	35.6
Nlrx1	12.0	11.0	12.7	13.4
Nlrx1	86.1	101.5	54.5	118.0
Ube2o	12.1	22.4	12.7	5.5
Dusp16	122.2	19.7	176.4	56.2
Tshb	15.5	12.4	55.1	50.8
Fgf8	6.6	6.9	3.7	4.3
Zc3h3	1498.2	1678.4	1231.2	1595.3
Hpcal4	416.6	499.5	342.8	503.3
Hoxa4	23.7	53.5	30.9	47.1
Hoxa4	3.7	30.3	4.3	24.2
Hoxa4	1193.6	1294.2	928.4	914.3
Slc6a8	14.2	7.7	9.6	13.2
	66.1	84.8	110.8	80.9
Rpsa /// Rpsa-ps10	5191.1	4622.4	3233.6	2923.9
Gapdh	1435.3	2202.0	1583.0	1454.4
Snhg11	4.2	3.3	3.6	7.9
Pclo	7.7	12.9	3.3	11.9
Zfp771	24.3	20.0	13.8	29.0
Drd4	382.5	163.7	264.5	289.9
Pcdha1 /// Pcdha10 /// Pcdha11 /// Pcdha12 /// Pcdha2 /// Pcdha3 /// Pcdha4 /// Pcdha5 /// Pcdha6 /// Pcdha7 /// Pcdha8 /// Pcdha9 /// Pcdhac1 /// Pcdhac2	89.1	63.7	45.4	95.5
Sva	40.7	41.5	18.6	57.7
Prdx1	4201.4	3731.5	3171.6	4137.2
Kcnma1	79.9	132.2	101.0	103.2
A730034C02 /// Mtap2	11.1	8.2	7.3	8.5
Klra7	380.1	575.7	348.2	666.4
Klra7	333.0	496.5	245.9	300.4
Ncf1	59.1	51.1	69.1	30.4
Ros1	6.0	2.1	3.9	26.7
Ros1	38.5	20.5	27.9	36.5
Ros1	7.8	2.8	2.8	3.1
Krt32	513.9	493.3	308.2	396.1
Dsc2	5.1	30.2	1.9	25.3
Ptgfr	22.0	49.2	37.0	19.9
Fam3c	1248.7	1187.7	1497.9	1268.3
Fam3c	86.0	73.7	46.4	92.8
Plau	39.9	116.0	58.0	85.8
Cd34	18.5	26.5	13.0	6.6
Oprm1	14.7	7.4	7.8	10.3
AA511254	55.6	83.1	25.1	103.7
Drd2	88.2	220.4	34.5	131.7
Nkx2-5	29.0	48.8	25.1	34.2
St3gal3	14.5	33.4	517.0	202.4
Mcpt8	106.8	28.0	9.2	24.5
Usp42	58.2	65.3	38.4	75.5
Ncr1	45.4	25.9	6.8	30.9
Defb2	30.5	130.6	34.6	76.0
Ccl17	90.1	84.4	13.1	55.4
Aloxe3	223.6	323.5	183.9	353.2
Fam50b	41.8	33.0	44.5	15.2
Ankrd2	159.2	178.8	100.2	209.4
Slc6a3	52.1	44.5	40.2	67.6
Krt12	139.3	207.5	82.1	154.3
Foxh1	38.9	56.3	25.2	39.5
Lama3	17.2	50.7	43.2	27.9
Sema5b	57.1	75.3	60.1	166.7
Neurog2	20.1	51.2	12.3	35.9
Gria3	8.1	8.4	5.5	6.7
Sema7a	133.7	69.6	248.7	109.5
Calcrl	8.5	7.9	9.3	27.6
Med14	97.3	66.8	98.0	80.5
Asnsd1	2137.5	1837.9	2633.5	2885.3
Fam63a	220.7	379.7	305.1	433.5
Fastk	368.4	338.1	405.7	318.5
Rpf1	409.6	252.8	254.2	251.2
Mpp1	1430.8	1278.1	483.2	830.1
Ufc1	999.6	856.2	1365.8	1004.9
Sf3b1	1053.7	1481.0	2701.9	1480.4
Ehmt2	850.2	766.9	416.6	361.9
Arfgap3	61.7	222.4	370.5	331.9
Ranbp9	770.7	866.7	1855.8	1362.7
Rela	5919.4	4182.1	4710.1	4879.4
Krt33b	90.0	232.5	158.5	209.4
Rbm25	224.2	178.0	166.7	96.7
Cdc42se1	1100.3	2142.0	2551.1	2543.5
Snx4	1575.2	1636.1	2054.5	2025.2
Gsto1	881.7	562.6	508.1	288.3
Galk1	190.2	381.4	146.6	139.7
Pak2	646.5	737.7	842.0	760.4
Pak2	920.8	1232.6	1328.1	1689.3
Pak2	1426.7	2031.5	1961.7	2452.1
Nhp2	1385.2	1153.5	789.7	697.9
Perp	778.9	399.0	1171.7	537.7
Fcgbp	167.1	217.9	159.9	171.0
Siva1	987.0	726.7	1093.8	746.9
Cdipt	1617.8	1642.9	1653.5	1754.2
Pecam1	106.1	121.8	59.5	35.2
Cd97	818.8	1520.9	1327.0	2224.1
Pfkp	825.6	2059.7	1377.0	1200.6
Pfkp	1065.9	3425.2	1932.0	1849.8
Rarres2	35.0	49.9	31.5	89.1
Rnf7	345.6	754.1	466.8	516.4
Snhg1	554.3	489.5	205.8	196.0
Snx6	1886.1	1826.3	1703.9	2208.0
Chmp2a	2117.3	1819.9	2043.9	1552.6
Gm6768 /// Ncoa4	671.6	877.9	813.9	797.1
Rgs2	2052.7	726.6	1786.1	654.6
Wdr5	892.7	666.9	463.2	279.2
Cdc5l	789.9	899.8	863.3	888.0
Rbmx	235.0	318.9	117.5	213.2
Rbmx	311.7	526.7	234.3	254.1
Cav1	101.5	89.3	116.0	75.4
Psip1	537.8	576.8	545.3	487.1
Zdhhc3	880.7	736.3	1026.0	1015.9
Inpp5a	482.7	630.2	411.7	795.9
Inpp5a	269.0	304.3	149.5	122.3
Nap1l4	535.5	467.7	603.6	639.5
Tmem111	4.4	66.2	32.1	82.1
Tmem111	776.8	751.5	971.2	1013.3
Hgsnat	584.3	757.7	840.1	679.2
Fam32a	503.5	626.1	386.7	407.0
Fam32a	2023.8	2690.9	1472.7	2156.2
Fam32a	2022.4	2250.0	1594.7	1903.0
Hsd11b1	789.6	610.7	1283.7	1053.4
Dnaja3	427.8	918.3	486.7	780.4
Etfdh	322.4	275.5	354.3	308.6
Ero1l	1258.1	2221.9	1614.5	2514.6
Ero1l	1524.1	3352.4	2711.8	2336.8
Nadk	526.4	664.5	319.1	682.4
Ndufv3	1483.2	999.3	1879.5	1101.3
Adrm1	1395.2	872.8	1109.4	916.3
Vps29	958.9	1343.9	2048.3	1874.1
Dlst	668.4	982.3	826.9	1022.1
Sec61a1	3710.1	2754.5	4082.6	4246.5
Mrps11	542.0	396.6	344.5	347.0
Tmem176b	11172.6	13235.4	8705.3	9997.5
Spr	358.7	251.4	359.5	153.2
Apoc2	38.8	40.6	60.3	30.5
Pgap2	125.2	281.9	408.9	574.9
Fabp2	4.5	7.9	4.4	5.2
Sgk1	2912.4	3843.5	817.7	1378.9
Sac3d1	292.5	281.3	215.6	294.9
Brd8	409.0	446.8	300.3	346.4
Tbpl1	239.9	228.1	361.7	288.0
Vars	1542.4	1397.5	948.8	1037.1
Hat1	671.2	254.0	572.1	484.4
Hat1	107.4	131.8	122.9	154.5
C78339	984.8	1216.6	688.6	847.4
Txndc9	540.9	601.3	421.4	697.6
Ubtf	1815.6	688.2	1703.4	1116.8
Tsen34	183.3	180.4	83.2	101.6
Actr3	5912.3	8348.5	7205.0	8118.6
Siah2	282.4	240.4	265.6	296.7
Lsm7	1205.0	894.7	631.4	380.3
Rmnd5a	2317.1	2495.3	1967.5	2411.3
Stmn1	207.3	241.0	187.1	316.4
Stmn1	22.6	30.5	14.8	17.7
0910001L09Rik	2544.5	2047.9	1835.7	1907.2
Tspan3	81.4	99.4	37.0	175.5
Hspa9	1821.2	1641.6	1339.8	1087.1
Plekhb2	3238.5	2937.3	4662.2	4615.3
5730494N06Rik	1738.7	908.1	2068.7	1202.9
Bloc1s1	1324.9	1056.7	1000.9	891.3
Rell1	11.9	57.3	43.4	17.0
Prpf38b	409.9	721.6	569.9	668.5
Krt7	21.7	22.9	12.1	13.3
Agrn	311.9	365.3	253.7	405.8
Cyb5r4	2861.9	2438.0	2981.8	2566.2
Herc1	1497.1	1862.3	1112.5	1488.1
Gne	339.1	629.7	305.1	547.6
Csnk1e	321.0	181.1	195.2	255.6
Pparg	50.9	7.5	23.9	5.8
Rhog	1249.5	1423.0	1106.2	872.7
Cln6	819.9	582.5	489.9	354.0
Psmd9	738.2	816.1	657.8	758.9
Cd151	585.7	435.5	547.4	566.4
Cd151	6.8	5.7	3.2	5.5
Cd151	502.4	488.5	656.2	510.3
2010111I01Rik	1474.4	1197.4	796.0	1312.0
Galnt1	1340.9	1086.3	856.0	927.8
Msl1	402.7	819.6	512.4	648.7
Zfp746	348.9	224.3	225.0	152.7
Klf5	65.2	58.9	45.7	30.9
Tmx1	1439.8	1742.8	1550.8	1472.0
Prl3d1	78.6	84.3	77.3	97.2
Capn6	10.5	4.1	24.9	9.4
Capn6	17.1	38.0	9.1	18.5
Capn6	186.8	176.9	116.9	192.1
A130082M07Rik	17253.2	13280.4	13632.1	12679.4
A130082M07Rik	12196.4	12784.3	10837.8	12694.8
Prl7a2	13.6	21.2	6.5	41.8
Adam10	514.8	557.0	885.4	620.5
Rb1	731.9	1041.6	922.7	765.6
Fgl2	49.2	5.9	50.7	46.5
Xdh	169.2	419.7	302.1	315.8
Tsc2	1040.4	835.8	674.2	1021.1
Tsc2	15.4	17.9	19.9	18.4
Tsc2	267.3	381.0	389.3	430.3
Tyrp1	12.4	13.3	17.2	16.8
Tyrp1	39.7	91.7	40.2	51.8
Tyrp1	27.8	30.0	16.5	40.2
Slc27a4	230.0	187.9	301.1	289.0
Zmynd8	80.5	166.9	106.0	102.7
Usp22	213.7	65.2	93.8	51.7
Synj2	262.3	411.2	283.7	382.4
Sipa1	384.0	414.6	308.2	286.2
Fkbp11	17.1	31.7	14.0	19.5
Pla2g6	177.0	189.9	84.1	114.0
Ncoa5	257.2	430.3	222.5	352.2
Plxnd1	744.4	621.9	1737.8	1307.9
Nr1h4	101.2	123.7	44.1	89.1
Mfi2	51.8	78.2	52.0	105.6
Phkg2	863.9	832.2	629.9	687.2
Rnf103	678.3	360.7	725.5	469.7
Tal1	11.6	13.3	7.6	21.9
Zfpm1	1900.1	957.2	4238.4	4321.1
Nfatc3	677.4	832.7	584.3	781.1
Ktn1	139.1	182.8	113.5	135.2
Ntn1	150.4	193.2	192.7	228.9
Ppp1r7	391.8	361.3	905.5	800.8
Ltbr	150.3	249.6	87.0	203.5
Emid2	197.8	496.4	158.7	376.7
Stxbp1	236.1	355.0	643.3	691.2
Klc1	401.1	552.7	555.5	688.9
Klc1	1028.8	1265.9	1179.8	1389.3
Entpd2	185.1	121.3	267.7	154.4
Igfals	28.4	41.5	26.4	28.0
Meis2	180.9	202.0	47.4	150.7
Ppp3cb	324.6	522.2	224.6	324.4
Myh11	35.1	16.4	31.4	44.1
Kras	431.2	500.0	695.9	591.7
Smg5	313.2	384.6	306.4	409.8
Uros	196.0	246.1	232.0	313.7
Tcf7	74.1	173.0	62.4	166.9
Tcf7	89.0	142.3	84.2	114.5
Papola	36.4	112.3	44.4	28.2
Sfrp1	16.7	69.3	65.1	56.3
Atn1	404.0	274.6	487.1	449.2
Muc13	64.0	181.9	88.4	65.2
Arhgef1	1440.2	1316.0	2155.2	1580.8
Irf8	616.9	423.8	511.2	373.9
Lilrb3	202.8	189.4	104.3	142.4
Pkia	22.1	29.0	76.9	51.6
Pkia	3.6	45.4	3.4	27.4
Pola2	551.9	850.2	488.8	543.1
Rps6ka2	21.1	88.5	151.0	106.3
Cx3cl1	135.8	419.1	64.0	173.6
Nfe2	68.4	104.4	71.7	106.2
Gabbr1	1593.0	1843.9	794.6	1085.3
D15Ertd621e	177.1	161.1	163.9	109.3
Itih1	8.3	10.6	9.2	15.0
Scamp3	1515.3	1101.0	1503.7	1370.2
Larp7	321.4	218.0	372.0	314.4
Pelo	604.4	646.5	152.7	194.3
Procr	21.0	103.3	30.5	10.5
Tgfb1i1	140.1	346.9	273.3	291.2
Drg1	1252.1	1343.9	1411.2	1367.7
Polr1e	127.3	289.5	161.3	214.1
Pcsk7	309.9	247.6	321.3	286.3
Prl7d1	48.8	3.0	3.9	2.7
Nfyb	505.4	620.7	492.9	536.1
Evi2a	887.4	860.6	747.3	759.6
Evi2a	1193.1	1232.7	897.4	941.2
Col9a2	201.8	387.9	237.0	308.4
Twist1	22.3	4.7	10.0	10.1
3110056O03Rik	450.1	402.1	343.1	433.5
Trim30a	167.8	486.9	99.8	322.1
Bok	235.6	340.0	255.0	411.4
Zfp35	364.1	422.7	184.2	295.9
Plbd1	111.8	121.6	98.4	73.3
H2-DMb1	56.0	92.0	24.8	23.1
H2-DMb1	439.1	722.6	353.0	563.1
Marveld1	2541.9	3529.4	2555.1	2549.9
Hbxip	1142.3	1740.7	1461.9	1629.5
Hmgb3	1546.0	1069.9	1534.1	1397.7
2410015M20Rik	791.3	566.2	642.3	552.9
Tcf3	228.9	270.0	172.2	260.6
Rnase1	2.8	18.3	3.3	7.9
Scpep1	322.5	173.1	325.8	219.9
Dab2	39.2	66.4	79.5	67.7
Dab2	7.7	14.1	10.4	9.8
Ubr7	718.7	472.1	518.2	516.1
Srsf10	546.7	472.8	667.8	373.0
Ftsjd2	1042.6	961.1	1161.3	885.1
Ric8	662.0	857.8	647.0	727.9
Bet1l	504.8	340.4	605.3	491.6
Ywhab	778.3	921.8	932.6	909.5
Ecm1	7.9	12.4	37.0	62.2
Blcap	310.2	254.7	260.7	333.6
Phlda3	266.9	375.6	290.0	445.3
Rnf166	1855.7	2169.2	2061.9	2140.9
Lmna	9403.4	3733.5	5737.8	3619.3
Lmna	322.0	470.3	307.0	442.4
Nudt16l1	1241.0	1183.0	800.0	1181.7
Glycam1	120.0	198.2	94.9	139.5
Aamp	2824.5	2607.5	3851.1	3605.1
Ormdl3	1168.1	1144.6	1830.5	1444.3
Brd2	729.4	614.7	449.8	439.7
Cdkn1a	345.4	323.3	761.3	745.2
Suds3	1101.4	474.4	1467.0	946.1
Suds3	1480.9	921.1	1842.6	1263.6
Dck	516.6	653.9	461.9	534.0
Dck	44.1	41.6	28.2	48.3
Cux1	885.1	634.0	1248.7	883.1
Cdc123	865.7	947.0	882.0	786.9
Erp29	1390.1	1172.2	1275.5	1111.5
Snrpd3	1301.1	804.0	543.1	516.3
Aph1a	550.6	849.9	494.3	877.3
Car14	49.7	139.7	86.5	134.2
Polr1d	625.8	505.9	668.3	547.2
Polr1d	9.2	11.4	8.7	21.8
Klf6	4122.9	5722.8	2851.0	3533.2
Arl2bp	8412.3	5640.3	5022.5	4051.7
Rps28	16630.4	24585.0	13409.5	13629.7
Rps28	142.6	258.2	177.5	228.7
Tbk1	1151.3	1244.5	877.6	901.4
Cd14	764.1	931.9	684.4	858.2
Llph	193.6	160.2	142.5	116.1
Krr1	210.7	104.3	98.0	100.6
Plac8	138.6	205.4	86.0	153.3
Amfr	1053.8	982.6	1356.4	1189.2
Cog8 /// Pdf	238.3	472.3	235.6	271.5
Cog8 /// Pdf	99.8	217.9	120.1	186.2
Car1	84.6	120.8	42.9	30.5
Nudt9	847.5	645.2	1260.6	1062.4
Gtf2a2	1085.8	833.2	1149.8	979.5
Pdha1	1666.6	2616.5	1746.4	2215.6
Atp6v0b	2868.4	2708.1	4456.4	4558.8
Timm44	640.6	502.8	375.2	450.8
Coro1c	982.7	1041.8	1433.9	1632.2
Crabp1	15.2	84.3	17.2	94.3
Mrpl55	153.1	226.2	164.8	96.3
Mdm2	1334.6	1249.5	1865.5	1664.5
Hsph1	635.9	865.9	1624.1	1355.6
Lap3	11.1	15.6	18.8	13.0
Psmb1	2441.3	2646.5	2899.1	2087.4
Npc1	755.1	691.7	957.2	998.6
Hpx	6.1	91.0	29.2	29.2
Ndufa1	85.1	252.9	69.4	211.7
Ndufa1	33.4	19.1	39.3	30.2
Gm12191 /// Gm6570 /// Rpl30	19208.9	26939.5	15158.9	17520.5
Mrpl27	1412.5	826.6	730.0	883.8
Fnta	1399.2	2175.7	1057.6	2016.8
Lmo4	86.2	56.3	33.4	15.2
Aadat	8.2	6.8	6.2	11.0
0610011F06Rik	962.7	593.2	1118.9	733.9
Tm2d3	761.2	578.4	480.7	553.3
Atp2a1	163.1	106.4	67.2	120.9
Capza2	2057.8	1264.6	2183.5	1067.3
Atp5j	2786.4	2292.1	2728.1	2613.0
Tmsb10	12399.0	13860.1	6101.5	5242.3
Txn2	1276.9	1206.3	1152.3	1045.1
Cryz	113.2	144.4	75.2	84.7
Cycs	172.1	194.0	297.1	276.3
Calb1	31.6	17.8	4.7	12.1
2610101N10Rik	360.7	489.2	215.6	373.5
Otud6b	52.8	20.5	7.6	47.4
Sms	1682.9	2053.5	3005.2	2492.9
Car5a	122.5	92.8	71.0	23.0
Rpl7l1	259.2	384.3	182.8	256.1
Vdac1	122.9	72.1	14.6	61.5
Cdh1	373.8	381.8	195.8	535.3
Eif5b	174.2	123.7	137.6	91.3
Eif5b	345.3	569.9	491.7	521.6
Fut8	160.2	222.5	165.6	190.6
Tspan31	730.9	1092.6	1630.9	1167.0
Nup88	952.6	1007.5	781.2	884.8
Usp5	968.8	1126.1	1227.9	1049.5
Rps4y2	127.4	155.3	90.1	135.2
Rps4y2	126.2	79.7	27.7	36.3
Rab11b	2481.6	1604.7	2170.4	1668.5
Ctnnd1	76.2	96.7	66.6	88.7
Ctnnd1	841.8	1822.0	1054.5	1725.1
Cct3	1186.5	1183.6	893.5	1023.8
Gtf3c2	723.4	601.4	597.2	499.1
Pold2	1238.5	908.2	601.3	682.5
Rpl7a	11477.0	14899.5	8223.7	8991.1
Fzd3	200.1	360.8	193.3	390.3
Il12rb1	379.1	811.4	215.2	344.2
	368.3	617.9	334.8	494.3
Aak1	31.4	29.7	19.1	36.2
BC094435 /// Ccrn4l /// Cog6 /// Gm10845 /// Sgip1	12737.4	20108.8	12989.2	15342.2
Gab2	30.2	60.2	31.8	36.7
Ikzf4	225.2	309.3	192.4	283.5
Spry4	310.0	489.0	294.6	438.4
Insrr	31.5	62.2	18.0	36.9
Mmp16	18.3	10.5	6.6	10.1
	6.7	8.8	6.2	6.3
Icos	758.7	634.5	109.3	102.4
Xrn1	39.9	99.7	183.4	186.1
H2-T18	1746.9	2044.4	2066.3	1721.7
Zfp146	80.9	73.6	61.6	63.6
Ly6g6d	66.5	31.8	21.3	60.9
Dpp6	80.8	130.8	35.2	57.9
Klk4	13.1	22.1	8.3	8.7
Elf4	226.7	619.5	251.8	604.4
Plcg1	226.5	289.9	175.8	289.5
B3galt6	219.3	225.4	149.6	170.6
Gsbs	151.7	248.2	96.3	160.0
Gsbs	13.0	143.1	46.2	12.2
	27.1	30.4	13.0	28.7
Cyp2c39	403.5	461.7	351.5	470.5
Tulp1	45.6	145.1	50.7	54.7
Lgr5	15.8	9.9	12.3	17.1
Dpysl2	343.1	310.1	209.5	402.1
Slfn3 /// Slfn4	48.7	39.5	15.6	34.4
Cacna2d3	16.8	11.3	16.4	20.8
Tectb	61.3	98.5	77.4	50.4
Scn10a	36.6	18.3	45.1	66.9
Cep110	241.4	385.9	252.8	357.1
Tlr6	68.2	57.4	41.3	66.9
Foxm1	11.2	14.8	11.9	17.4
Foxm1	341.2	781.4	686.5	1061.2
Rasgrp1	279.4	801.7	157.3	509.9
Myh1	7.0	5.8	3.2	7.1
Ccbp2	139.5	234.9	66.3	165.9
Znrf4	71.3	182.7	168.5	80.9
Pmfbp1	30.5	58.6	25.3	36.2
Rspo1	50.1	17.6	26.2	25.4
Odz4	68.1	56.9	26.0	97.1
Odz4	126.1	123.0	62.7	115.5
Tecta	114.8	94.4	70.8	133.8
Chic1	13.1	19.5	11.8	15.7
Phox2b	45.7	66.2	35.8	56.6
Cd70	925.6	1569.8	5189.9	5689.4
Dsg2	58.7	34.8	76.0	71.3
Cyp26a1	60.1	49.7	42.0	73.3
Olfr90	26.1	37.3	22.9	34.4
Slc22a5	168.5	141.4	153.5	199.9
Ccr9	114.6	164.3	77.4	95.0
Foxa3	35.5	29.5	9.6	16.4
AA517545	1.8	3.6	1.4	4.6
Ccdc96	8.0	3.9	4.4	3.4
	2.0	2.0	5.7	1.9
Tshr	13.2	18.9	15.9	22.8
Pfkfb2	20.1	33.9	14.9	25.7
Zic3	14.3	83.3	12.8	72.1
Col3a1	95.4	78.7	70.4	60.6
Kcnj9	196.9	145.2	95.9	183.7
Gm10260 /// Rps18	17016.1	23914.3	12718.1	14745.0
Crtam	11.8	8.4	2428.9	2253.0
Rfc1	426.4	236.4	394.6	405.1
Rfc1	11.9	25.7	49.1	22.0
Nkx1-2	30.6	168.7	71.6	205.3
En2	81.5	162.0	82.5	114.7
Syt11	608.6	597.5	1147.7	1303.3
AA407331	51.3	149.8	84.0	113.5
Mybbp1a	86.3	81.4	80.1	85.3
Rpl10	17438.7	25331.6	13401.2	16849.0
Zfy1 /// Zfy2	30.8	48.6	10.7	9.2
Gm4983 /// Gm9292	792.7	1525.0	1006.8	1277.9
AA536748	13.4	8.7	2.8	20.9
Tsku	78.7	107.0	75.7	63.6
Cdx4	18.7	59.3	5.8	73.9
Fzd3	20.5	27.0	10.2	18.2
Il6st	72.5	55.4	52.9	99.8
Sstr2	24.3	20.1	48.6	22.7
Sstr2	107.3	229.7	103.8	191.6
Sstr2	160.9	56.6	69.9	109.0
Cyp4a10 /// Cyp4a31 /// Cyp4a32	13.0	62.6	17.8	32.1
Ptcra	26.5	48.3	62.2	11.7
Gpr133	155.2	277.9	111.3	187.4
Adcy9	45.1	28.4	9.9	71.8
AA545190	115.3	90.5	63.1	128.8
4933416E03Rik	14.9	57.5	13.4	18.9
Cacna1b	261.0	372.2	125.5	238.0
Adcyap1r1	29.7	190.5	65.6	85.5
Adcyap1r1	24.1	115.0	18.9	60.7
Nxph2	25.2	42.1	24.3	4.9
Kcnd2	20.8	22.0	3.1	29.7
Nos1	10.6	13.9	27.5	48.0
Itgav	89.4	173.1	203.6	270.8
Hoxd3	29.7	74.6	70.0	101.4
Prkg2	8.7	11.1	6.2	11.0
Gm10845	2955.5	7360.8	4031.1	5937.2
Upk2	75.6	246.4	109.0	277.5
Cbfa2t2	34.6	72.0	49.4	44.7
Aldh1a3	17.4	53.5	47.3	20.8
Ms4a4c	436.9	1135.7	753.6	1141.3
Il5	48.8	51.9	56.8	124.9
Vipr2	32.9	26.5	30.2	16.1
Epha5	9.0	31.3	12.7	21.3
Rfwd2	240.1	655.3	378.8	530.5
Kcnh1	12.7	95.0	9.1	26.9
Naa30	78.6	104.2	57.0	67.5
Prpmp5	35.7	41.8	71.9	84.7
Prpmp5	97.6	194.0	55.2	139.5
Ptk6	30.6	32.3	23.5	53.7
Ptpn14	106.8	188.2	115.4	169.3
Cacna1c	147.5	245.8	142.5	226.7
Bdkrb2	51.4	55.0	11.3	80.1
Mtrf1l	46.5	22.5	12.7	21.5
Crlf1	37.5	190.1	19.3	90.4
Impdh1	573.4	487.3	250.2	205.3
Klk1b11	4.2	8.1	5.8	7.2
Lag3	7.4	66.4	97.7	87.8
Dlx1	5.3	6.6	3.1	5.8
Crhr2	35.3	37.6	19.8	27.9
Blzf1	273.5	239.7	281.0	149.8
Apobec1	491.5	402.7	209.0	384.3
Cenpk	154.7	163.9	122.6	208.2
Hsd3b3	41.1	14.3	37.6	11.6
Macf1	2931.5	3890.9	3146.9	3000.6
Gnl1	611.4	668.0	869.0	1167.9
U2af2	7009.3	5722.7	5565.0	4907.9
Serpinb9	606.4	472.5	502.2	445.9
Ccl5	5065.6	6611.8	13688.5	16081.3
Efnb1	72.6	59.4	57.5	124.4
Hhex	67.5	56.4	7.5	57.3
Myo1b	57.4	14.0	31.4	86.5
Irgm2	414.7	885.1	165.8	265.9
Pdlim7	3.5	4.0	3.7	4.3
Zfp42	8.6	13.6	7.3	11.1
Crlf3	2408.9	1524.5	1530.3	1259.8
Traf2	1020.6	738.3	601.4	1095.2
Mx1	560.2	805.8	487.4	514.4
Dvl1	1723.2	1278.0	1362.6	1751.4
Meox1	153.3	83.3	49.1	108.9
Impa2	99.7	221.1	107.3	73.0
Il17d	59.1	7.0	11.1	9.0
Gjb2	11.0	26.9	47.0	51.1
Ptpn13	65.0	108.2	73.4	98.2
Ppt2	426.7	479.1	393.6	372.9
Nfkb1	2607.0	3520.6	2930.4	3746.7
Spast	173.0	228.7	187.9	229.2
Lypla2	3013.7	2337.4	2617.5	2325.2
Med22	418.3	363.2	314.7	525.8
Dusp12	351.8	483.7	255.2	411.9
X99384	32.4	202.0	69.4	189.3
Bid	15.4	107.6	14.0	25.1
Arhgef7	736.7	456.3	753.2	796.9
Adssl1	125.0	115.2	265.4	297.9
Casp3	1400.0	593.3	2099.4	2118.7
Casp3	743.9	882.9	740.2	611.6
H2-Q7	18725.2	20218.5	15712.6	16516.3
Rps6kb1	138.8	348.1	188.1	248.6
Ptgr1	35.9	59.6	9.7	47.2
Fmr1	610.0	600.4	540.1	432.5
Lep	454.4	749.2	377.8	798.3
Lep	57.3	78.4	52.2	65.3
Gga1	381.4	357.6	390.4	381.9
Cct3	1863.3	1894.9	1513.4	1513.6
Cebpa	192.0	298.6	236.3	381.1
Casc3	20.0	35.0	20.4	56.9
Sart1	519.4	475.1	477.4	535.2
